Area Type,Metric,Median,P25,P75,Min,Max,Sample Size
urban_core,active_outdoors.parks_1km,5,0.0,26.5,0,63,13
urban_core,active_outdoors.playgrounds_1km,0,0.0,0.0,0,0,13
urban_core,active_outdoors.park_area_hectares,2.7929,0.0,12.6416,0.0,42.7117,13
urban_core,active_outdoors.trails_15km,32,4.5,99.0,0,249,13
urban_core,active_outdoors.water_15km,67,13.0,286.0,0,446,13
urban_core,active_outdoors.camping_15km,2,0.0,2.0,0,5,13
urban_core,active_outdoors.closest_water_km,1.3745,0.84275,2.14175,0.499,2.481,10
urban_core,healthcare.hospitals_20km,5,0.0,20.5,0,100,13
urban_core,healthcare.pharmacies_8km,6,0.0,28.0,0,403,13
urban_core,healthcare.clinics_5km,2,0.0,28.0,0,93,13
urban_core,healthcare.closest_hospital_km,1.55,0.479,5.271,0.023,6.265,7
urban_core,amenities.businesses_1km,98,0.0,442.0,0,1182,13
urban_core,amenities.business_types,12,0.0,16.0,0,16,13
urban_core,amenities.restaurants_1km,54,0.0,185.5,0,642,13
urban_core,amenities.median_distance_m,709.75,599.5,743.875,541.0,874.5,8
suburban,active_outdoors.parks_1km,6.0,0.5,11.5,0,12,4
suburban,active_outdoors.playgrounds_1km,0.0,0.0,0.0,0,0,4
suburban,active_outdoors.park_area_hectares,20.983849999999997,2.06135,56.136649999999996,0.0,63.6081,4
suburban,active_outdoors.trails_15km,5.5,1.25,14.25,0,17,4
suburban,active_outdoors.water_15km,0.5,0.0,199.75,0,266,4
suburban,active_outdoors.camping_15km,1.5,0.0,4.5,0,5,4
suburban,active_outdoors.closest_water_km,2.5345,-0.63275,5.7017500000000005,0.423,4.646,2
suburban,healthcare.hospitals_20km,2.0,2.0,5.75,2,7,4
suburban,healthcare.pharmacies_8km,1.5,1.0,2.0,1,2,4
suburban,healthcare.clinics_5km,1.0,0.0,3.5,0,4,4
suburban,healthcare.closest_hospital_km,1.5135,0.5185,3.6042499999999995,0.191,4.297,4
suburban,amenities.businesses_1km,55.0,35.25,110.75,32,126,4
suburban,amenities.business_types,11.5,11.0,12.0,11,12,4
suburban,amenities.restaurants_1km,20.5,14.75,51.0,13,61,4
suburban,amenities.median_distance_m,535.75,228.5,758.25,170.0,788.5,4
exurban,active_outdoors.parks_1km,7.5,6.75,8.25,7,8,2
exurban,active_outdoors.playgrounds_1km,0.0,0.0,0.0,0,0,2
exurban,active_outdoors.park_area_hectares,4.90735,3.0192250000000005,6.795475,3.6486,6.1661,2
exurban,active_outdoors.trails_15km,9.0,4.5,13.5,6,12,2
exurban,active_outdoors.water_15km,30.5,10.25,50.75,17,44,2
exurban,active_outdoors.camping_15km,8.5,-2.75,19.75,1,16,2
exurban,active_outdoors.closest_water_km,3.7935,3.37875,4.2082500000000005,3.517,4.07,2
exurban,healthcare.hospitals_20km,1.5,-0.75,3.75,0,3,2
exurban,healthcare.pharmacies_8km,0.0,0.0,0.0,0,0,2
exurban,healthcare.clinics_5km,0.0,0.0,0.0,0,0,2
exurban,healthcare.closest_hospital_km,5.202,5.202,5.202,5.202,5.202,1
exurban,amenities.businesses_1km,67.0,-33.5,167.5,0,134,2
exurban,amenities.business_types,5.0,-2.5,12.5,0,10,2
exurban,amenities.restaurants_1km,24.5,-12.25,61.25,0,49,2
exurban,amenities.median_distance_m,311.0,311.0,311.0,311.0,311.0,1
