Area Type,Metric,Median,P25,P75,Min,Max,Sample Size
suburban,active_outdoors.parks_1km,8,0.0,12.5,0,22,13
suburban,active_outdoors.playgrounds_1km,0,0.0,0.0,0,0,13
suburban,active_outdoors.park_area_hectares,6.0476,0.0,22.7176,0.0,70.7099,13
suburban,active_outdoors.trails_15km,9,5.5,18.0,2,122,13
suburban,active_outdoors.water_15km,17,2.0,58.0,0,323,13
suburban,active_outdoors.camping_15km,1,1.0,5.5,0,16,13
suburban,active_outdoors.closest_water_km,2.34,0.425,4.34,0.287,7.576,11
suburban,healthcare.hospitals_20km,2,0.5,3.5,0,30,13
suburban,healthcare.pharmacies_8km,1,0.0,4.0,0,13,13
suburban,healthcare.clinics_5km,0,0.0,3.0,0,20,13
suburban,healthcare.closest_hospital_km,1.8385,1.32,4.576499999999999,0.191,8.136,10
suburban,amenities.businesses_1km,67,54.5,120.0,0,155,13
suburban,amenities.business_types,12,10.5,12.0,0,15,13
suburban,amenities.restaurants_1km,36,20.5,44.5,0,61,13
suburban,amenities.median_distance_m,385.25,209.25,526.125,146.0,788.5,12
