Area Type,Metric,Median,P25,P75,Min,Max,Sample Size
urban_core,transit.transit_score,38.65,26.95,68.675,25.9,84.6,10
urban_core,transit.heavy_rail_score,18.5,0.0,73.0,0.0,85.0,10
urban_core,transit.light_rail_score,0.0,0.0,22.125,0.0,30.0,10
urban_core,transit.bus_score,32.35,23.3,35.0,21.2,35.0,10
urban_core,transit.commute_time_score,71.15,51.65,83.22500000000001,37.7,95.0,10
urban_core,transit.total_stops,18.5,7.5,44.75,5,89,10
urban_core,transit.heavy_rail_stops,0.5,0.0,9.0,0,26,10
urban_core,transit.light_rail_stops,0.0,0.0,1.75,0,8,10
urban_core,transit.bus_stops,17.5,7.25,30.75,5,63,10
urban_core,transit.mean_commute_minutes,27.950000000000003,23.924999999999997,33.824999999999996,16.1,37.8,10
urban_core,transit.transit_modes_count,2.0,1.0,2.25,1,3,10
suburban,transit.transit_score,52.0,36.35,55.0,35.0,55.0,5
suburban,transit.heavy_rail_score,0.0,0.0,0.0,0.0,0.0,5
suburban,transit.light_rail_score,0.0,0.0,0.0,0.0,0.0,5
suburban,transit.bus_score,26.2,21.1,29.75,16.0,33.0,5
suburban,transit.commute_time_score,90.0,84.8,90.0,79.6,90.0,5
suburban,transit.total_stops,13,8.5,18.5,4,23,5
suburban,transit.heavy_rail_stops,0,0.0,0.0,0,0,5
suburban,transit.light_rail_stops,0,0.0,0.0,0,0,5
suburban,transit.bus_stops,13,8.5,18.5,4,23,5
suburban,transit.mean_commute_minutes,14.9,12.850000000000001,23.1,12.8,30.2,5
suburban,transit.transit_modes_count,1,1.0,1.0,1,1,5
exurban,transit.transit_score,29.0,0.0,54.55,0,55.0,10
exurban,transit.heavy_rail_score,0.0,0.0,0.0,0.0,51.0,10
exurban,transit.light_rail_score,0.0,0.0,0.0,0.0,0.0,10
exurban,transit.bus_score,6.75,0.0,18.35,0.0,26.2,10
exurban,transit.commute_time_score,85.0,85.0,85.0,85.0,85.0,6
exurban,transit.total_stops,1.5,0.0,5.5,0,14,10
exurban,transit.heavy_rail_stops,0.0,0.0,0.0,0,1,10
exurban,transit.light_rail_stops,0.0,0.0,0.0,0,0,10
exurban,transit.bus_stops,1.0,0.0,5.25,0,13,10
exurban,transit.mean_commute_minutes,15.25,10.599999999999998,17.75,8.8,17.9,6
exurban,transit.transit_modes_count,1.0,0.0,1.0,0,1,10
rural,transit.transit_score,32.0,0.0,48.25,0,55.0,10
rural,transit.heavy_rail_score,0.0,0.0,0.0,0.0,51.0,10
rural,transit.light_rail_score,0.0,0.0,0.0,0.0,0.0,10
rural,transit.bus_score,9.85,0.0,18.175,0,24.0,10
rural,transit.commute_time_score,85.0,85.0,85.0,85.0,85.0,7
rural,transit.total_stops,1.5,0.0,6.75,0,14,10
rural,transit.heavy_rail_stops,0.0,0.0,0.0,0,1,10
rural,transit.light_rail_stops,0.0,0.0,0.0,0,0,10
rural,transit.bus_stops,1.5,0.0,6.75,0,12,10
rural,transit.mean_commute_minutes,17.7,11.2,18.2,8.8,18.3,7
rural,transit.transit_modes_count,1.0,0.0,1.0,0,1,10
