place_key,label,name,county_borough,state_abbr,row_success,row_error,pillar_issue_count,pillars_flagged
Agoura Hills|Los Angeles|CA,"Agoura Hills, Los Angeles, CA",Agoura Hills,Los Angeles,CA,True,,0,
Alhambra|Los Angeles|CA,"Alhambra, Los Angeles, CA",Alhambra,Los Angeles,CA,True,,0,
Altadena|Los Angeles|CA,"Altadena, Los Angeles, CA",Altadena,Los Angeles,CA,True,,0,
Arcadia|Los Angeles|CA,"Arcadia, Los Angeles, CA",Arcadia,Los Angeles,CA,True,,0,
Arts District|Los Angeles|CA,"Arts District, Los Angeles, CA",Arts District,Los Angeles,CA,True,,0,
Atwater Village|Los Angeles|CA,"Atwater Village, Los Angeles, CA",Atwater Village,Los Angeles,CA,True,,0,
Bel Air|Los Angeles|CA,"Bel Air, Los Angeles, CA",Bel Air,Los Angeles,CA,True,,0,
Belmont Shore|Los Angeles|CA,"Belmont Shore, Los Angeles, CA",Belmont Shore,Los Angeles,CA,True,,0,
Beverly Hills|Los Angeles|CA,"Beverly Hills, Los Angeles, CA",Beverly Hills,Los Angeles,CA,True,,8,economic_security:pillar_error; climate_risk:pillar_error; diversity:pillar_error; social_fabric:pillar_error; healthcare_access:pillar_error; public_transit_access:pillar_error; air_travel_access:pillar_error; housing_value:pillar_error
Boyle Heights|Los Angeles|CA,"Boyle Heights, Los Angeles, CA",Boyle Heights,Los Angeles,CA,True,,0,
Brentwood|Los Angeles|CA,"Brentwood, Los Angeles, CA",Brentwood,Los Angeles,CA,True,,0,
Burbank|Los Angeles|CA,"Burbank, Los Angeles, CA",Burbank,Los Angeles,CA,True,,0,
Calabasas|Los Angeles|CA,"Calabasas, Los Angeles, CA",Calabasas,Los Angeles,CA,True,,0,
Canoga Park|Los Angeles|CA,"Canoga Park, Los Angeles, CA",Canoga Park,Los Angeles,CA,True,,0,
Cerritos|Los Angeles|CA,"Cerritos, Los Angeles, CA",Cerritos,Los Angeles,CA,True,,0,
Chatsworth|Los Angeles|CA,"Chatsworth, Los Angeles, CA",Chatsworth,Los Angeles,CA,True,,0,
Chinatown LA|Los Angeles|CA,"Chinatown LA, Los Angeles, CA",Chinatown LA,Los Angeles,CA,True,,0,
Compton|Los Angeles|CA,"Compton, Los Angeles, CA",Compton,Los Angeles,CA,True,,0,
Crenshaw|Los Angeles|CA,"Crenshaw, Los Angeles, CA",Crenshaw,Los Angeles,CA,True,,0,
Culver City|Los Angeles|CA,"Culver City, Los Angeles, CA",Culver City,Los Angeles,CA,True,,0,
Downey|Los Angeles|CA,"Downey, Los Angeles, CA",Downey,Los Angeles,CA,True,,0,
Downtown LA|Los Angeles|CA,"Downtown LA, Los Angeles, CA",Downtown LA,Los Angeles,CA,True,,0,
Eagle Rock|Los Angeles|CA,"Eagle Rock, Los Angeles, CA",Eagle Rock,Los Angeles,CA,True,,0,
East Hollywood|Los Angeles|CA,"East Hollywood, Los Angeles, CA",East Hollywood,Los Angeles,CA,True,,0,
East Los Angeles|Los Angeles|CA,"East Los Angeles, Los Angeles, CA",East Los Angeles,Los Angeles,CA,True,,0,
Echo Park|Los Angeles|CA,"Echo Park, Los Angeles, CA",Echo Park,Los Angeles,CA,True,,0,
El Monte|Los Angeles|CA,"El Monte, Los Angeles, CA",El Monte,Los Angeles,CA,True,,0,
El Segundo|Los Angeles|CA,"El Segundo, Los Angeles, CA",El Segundo,Los Angeles,CA,True,,0,
El Sereno|Los Angeles|CA,"El Sereno, Los Angeles, CA",El Sereno,Los Angeles,CA,True,,0,
Elysian Valley|Los Angeles|CA,"Elysian Valley, Los Angeles, CA",Elysian Valley,Los Angeles,CA,True,,0,
Encino|Los Angeles|CA,"Encino, Los Angeles, CA",Encino,Los Angeles,CA,True,,0,
Franklin Village|Los Angeles|CA,"Franklin Village, Los Angeles, CA",Franklin Village,Los Angeles,CA,True,,0,
Frogtown|Los Angeles|CA,"Frogtown, Los Angeles, CA",Frogtown,Los Angeles,CA,True,,5,economic_security:pillar_error; climate_risk:pillar_error; diversity:pillar_error; social_fabric:pillar_error; housing_value:pillar_error
Gardena|Los Angeles|CA,"Gardena, Los Angeles, CA",Gardena,Los Angeles,CA,True,,0,
Glassell Park|Los Angeles|CA,"Glassell Park, Los Angeles, CA",Glassell Park,Los Angeles,CA,True,,0,
Glendale|Los Angeles|CA,"Glendale, Los Angeles, CA",Glendale,Los Angeles,CA,True,,0,
Granada Hills|Los Angeles|CA,"Granada Hills, Los Angeles, CA",Granada Hills,Los Angeles,CA,True,,0,
Hancock Park|Los Angeles|CA,"Hancock Park, Los Angeles, CA",Hancock Park,Los Angeles,CA,True,,0,
Hawthorne|Los Angeles|CA,"Hawthorne, Los Angeles, CA",Hawthorne,Los Angeles,CA,True,,0,
Hermosa Beach|Los Angeles|CA,"Hermosa Beach, Los Angeles, CA",Hermosa Beach,Los Angeles,CA,True,,0,
Hidden Hills|Los Angeles|CA,"Hidden Hills, Los Angeles, CA",Hidden Hills,Los Angeles,CA,True,,0,
Highland Park|Los Angeles|CA,"Highland Park, Los Angeles, CA",Highland Park,Los Angeles,CA,True,,0,
Hollywood Hills|Los Angeles|CA,"Hollywood Hills, Los Angeles, CA",Hollywood Hills,Los Angeles,CA,True,,0,
Hollywood|Los Angeles|CA,"Hollywood, Los Angeles, CA",Hollywood,Los Angeles,CA,True,,0,
Hyde Park|Los Angeles|CA,"Hyde Park, Los Angeles, CA",Hyde Park,Los Angeles,CA,True,,0,
Inglewood|Los Angeles|CA,"Inglewood, Los Angeles, CA",Inglewood,Los Angeles,CA,True,,0,
