place_key,label,name,county_borough,state_abbr,row_success,row_error,pillar_issue_count,pillars_flagged
Ardsley|Westchester|NY,"Ardsley, Westchester, NY",Ardsley,Westchester,NY,True,,0,
Astoria|Queens|NY,"Astoria, Queens, NY",Astoria,Queens,NY,True,,11,neighborhood_amenities:pillar_error; economic_security:pillar_error; climate_risk:pillar_error; natural_beauty:pillar_error; diversity:pillar_error; social_fabric:pillar_error; built_beauty:pillar_error; healthcare_access:pillar_error; public_transit_access:pillar_error; air_travel_access:pillar_error; housing_value:pillar_error
Battery Park City|Manhattan|NY,"Battery Park City, Manhattan, NY",Battery Park City,Manhattan,NY,True,,0,
Bay Ridge|Brooklyn|NY,"Bay Ridge, Brooklyn, NY",Bay Ridge,Brooklyn,NY,True,,0,
Bayside|Queens|NY,"Bayside, Queens, NY",Bayside,Queens,NY,True,,0,
Bed-Stuy|Brooklyn|NY,"Bed-Stuy, Brooklyn, NY",Bed-Stuy,Brooklyn,NY,True,,0,
Bedford|Westchester|NY,"Bedford, Westchester, NY",Bedford,Westchester,NY,True,,0,
Bellmore|Nassau|NY,"Bellmore, Nassau, NY",Bellmore,Nassau,NY,False,rerun_failed_catalog_pillars: 502 Server Error:  for url: https://home-fit-production.up.railway.app/score?location=Bellmore%2C+NY&enable_schools=false&only=economic_security%2Cclimate_risk%2Cdiversity%2Csocial_fabric%2Chousing_value,,
Belmont|Bronx|NY,"Belmont, Bronx, NY",Belmont,Bronx,NY,True,,0,
Bensonhurst|Brooklyn|NY,"Bensonhurst, Brooklyn, NY",Bensonhurst,Brooklyn,NY,True,,0,
Bloomfield|Essex|NJ,"Bloomfield, Essex, NJ",Bloomfield,Essex,NJ,True,,0,
Boerum Hill|Brooklyn|NY,"Boerum Hill, Brooklyn, NY",Boerum Hill,Brooklyn,NY,True,,0,
Borough Park|Brooklyn|NY,"Borough Park, Brooklyn, NY",Borough Park,Brooklyn,NY,True,,0,
Brighton Beach|Brooklyn|NY,"Brighton Beach, Brooklyn, NY",Brighton Beach,Brooklyn,NY,True,,0,
Bronxville|Westchester|NY,"Bronxville, Westchester, NY",Bronxville,Westchester,NY,True,,0,
Brooklyn Heights|Brooklyn|NY,"Brooklyn Heights, Brooklyn, NY",Brooklyn Heights,Brooklyn,NY,True,,0,
Bushwick|Brooklyn|NY,"Bushwick, Brooklyn, NY",Bushwick,Brooklyn,NY,True,,0,
Canarsie|Brooklyn|NY,"Canarsie, Brooklyn, NY",Canarsie,Brooklyn,NY,True,,0,
Carnegie Hill|Manhattan|NY,"Carnegie Hill, Manhattan, NY",Carnegie Hill,Manhattan,NY,True,,0,
Carroll Gardens|Brooklyn|NY,"Carroll Gardens, Brooklyn, NY",Carroll Gardens,Brooklyn,NY,True,,0,
Cedarhurst|Nassau|NY,"Cedarhurst, Nassau, NY",Cedarhurst,Nassau,NY,True,,0,
Chappaqua|Westchester|NY,"Chappaqua, Westchester, NY",Chappaqua,Westchester,NY,True,,0,
Chatham|Morris|NJ,"Chatham, Morris, NJ",Chatham,Morris,NJ,True,,0,
Chelsea|Manhattan|NY,"Chelsea, Manhattan, NY",Chelsea,Manhattan,NY,True,,0,
Chinatown|Manhattan|NY,"Chinatown, Manhattan, NY",Chinatown,Manhattan,NY,True,,0,
City Island|Bronx|NY,"City Island, Bronx, NY",City Island,Bronx,NY,True,,0,
Clinton Hill|Brooklyn|NY,"Clinton Hill, Brooklyn, NY",Clinton Hill,Brooklyn,NY,True,,0,
Closter|Bergen|NJ,"Closter, Bergen, NJ",Closter,Bergen,NJ,True,,0,
