name,type,county_borough,state_full,state_abbr,lat,lon,search_query
Pacific Heights,neighborhood,San Francisco,California,CA,37.7925,-122.4382,"Pacific Heights, San Francisco, California"
Marina District,neighborhood,San Francisco,California,CA,37.8030,-122.4361,"Marina District, San Francisco, California"
Cow Hollow,neighborhood,San Francisco,California,CA,37.7990,-122.4368,"Cow Hollow, San Francisco, California"
Russian Hill,neighborhood,San Francisco,California,CA,37.8014,-122.4194,"Russian Hill, San Francisco, California"
Nob Hill,neighborhood,San Francisco,California,CA,37.7930,-122.4150,"Nob Hill, San Francisco, California"
North Beach,neighborhood,San Francisco,California,CA,37.8060,-122.4103,"North Beach, San Francisco, California"
Hayes Valley,neighborhood,San Francisco,California,CA,37.7762,-122.4233,"Hayes Valley, San Francisco, California"
Lower Haight,neighborhood,San Francisco,California,CA,37.7712,-122.4296,"Lower Haight, San Francisco, California"
The Castro,neighborhood,San Francisco,California,CA,37.7609,-122.4350,"The Castro, San Francisco, California"
Noe Valley,neighborhood,San Francisco,California,CA,37.7502,-122.4302,"Noe Valley, San Francisco, California"
Mission District,neighborhood,San Francisco,California,CA,37.7599,-122.4148,"Mission District, San Francisco, California"
Bernal Heights,neighborhood,San Francisco,California,CA,37.7396,-122.4156,"Bernal Heights, San Francisco, California"
SoMa,neighborhood,San Francisco,California,CA,37.7785,-122.4057,"SoMa, San Francisco, California"
Mission Bay,neighborhood,San Francisco,California,CA,37.7700,-122.3938,"Mission Bay, San Francisco, California"
Dogpatch,neighborhood,San Francisco,California,CA,37.7594,-122.3897,"Dogpatch, San Francisco, California"
Potrero Hill,neighborhood,San Francisco,California,CA,37.7620,-122.4026,"Potrero Hill, San Francisco, California"
Inner Sunset,neighborhood,San Francisco,California,CA,37.7636,-122.4648,"Inner Sunset, San Francisco, California"
Outer Sunset,neighborhood,San Francisco,California,CA,37.7503,-122.5025,"Outer Sunset, San Francisco, California"
Inner Richmond,neighborhood,San Francisco,California,CA,37.7802,-122.4678,"Inner Richmond, San Francisco, California"
Outer Richmond,neighborhood,San Francisco,California,CA,37.7760,-122.5053,"Outer Richmond, San Francisco, California"
Haight-Ashbury,neighborhood,San Francisco,California,CA,37.7692,-122.4481,"Haight-Ashbury, San Francisco, California"
Cole Valley,neighborhood,San Francisco,California,CA,37.7661,-122.4529,"Cole Valley, San Francisco, California"
Glen Park,neighborhood,San Francisco,California,CA,37.7332,-122.4353,"Glen Park, San Francisco, California"
Presidio Heights,neighborhood,San Francisco,California,CA,37.7878,-122.4490,"Presidio Heights, San Francisco, California"
Excelsior,neighborhood,San Francisco,California,CA,37.7228,-122.4278,"Excelsior, San Francisco, California"
Bayview,neighborhood,San Francisco,California,CA,37.7279,-122.3893,"Bayview-Hunters Point, San Francisco, California"
Visitacion Valley,neighborhood,San Francisco,California,CA,37.7119,-122.4124,"Visitacion Valley, San Francisco, California"
West Portal,neighborhood,San Francisco,California,CA,37.7406,-122.4656,"West Portal, San Francisco, California"
Chinatown,neighborhood,San Francisco,California,CA,37.7941,-122.4078,"Chinatown, San Francisco, California"
Financial District,neighborhood,San Francisco,California,CA,37.7946,-122.3999,"Financial District, San Francisco, California"
Alamo Square,neighborhood,San Francisco,California,CA,37.7762,-122.4342,"Alamo Square, San Francisco, California"
Diamond Heights,neighborhood,San Francisco,California,CA,37.7417,-122.4417,"Diamond Heights, San Francisco, California"
Forest Hill,neighborhood,San Francisco,California,CA,37.7497,-122.4621,"Forest Hill, San Francisco, California"
Pacifica,suburb,San Mateo,California,CA,37.6138,-122.4869,"Pacifica, California"
Daly City,suburb,San Mateo,California,CA,37.6879,-122.4702,"Daly City, California"
South San Francisco,suburb,San Mateo,California,CA,37.6546,-122.4077,"South San Francisco, California"
San Bruno,suburb,San Mateo,California,CA,37.6304,-122.4111,"San Bruno, California"
Millbrae,suburb,San Mateo,California,CA,37.5985,-122.3869,"Millbrae, California"
Burlingame,suburb,San Mateo,California,CA,37.5841,-122.3647,"Burlingame, California"
Hillsborough,suburb,San Mateo,California,CA,37.5730,-122.3600,"Hillsborough, California"
San Mateo,suburb,San Mateo,California,CA,37.5630,-122.3255,"San Mateo, California"
Foster City,suburb,San Mateo,California,CA,37.5585,-122.2711,"Foster City, California"
Belmont,suburb,San Mateo,California,CA,37.5202,-122.2758,"Belmont, California"
San Carlos,suburb,San Mateo,California,CA,37.5069,-122.2608,"San Carlos, California"
Redwood City,suburb,San Mateo,California,CA,37.4852,-122.2364,"Redwood City, California"
