metro,name,area_type,score,stability,civic,engagement,stability_blend_pct,tract_long_tenure_pct,same_house_pct_b07003,civic_nodes,civic_weighted,civic_radius_m,orgs_per_1k,participation_mix
NYC,South Orange,suburban,83.3,75.4,100.0,74.4,91.9,91.15,95.01,36,38.5,1200,3.491,full
NYC,Glen Ridge,suburban,77.3,74.6,100.0,57.3,91.7,88.1,96.18,51,52.25,1200,1.283,full
NYC,Midtown East,suburban,75.6,65.6,100.0,61.2,88.6,87.5,90.12,317,214.25,1200,69.959,full
NYC,Croton-on-Hudson,rural,74.8,67.4,96.2,60.8,89.2,87.67,92.9,15,19.5,3000,0.837,full
NYC,Merrick,suburban,74.2,71.2,100.0,51.3,90.5,88.24,95.32,33,38.0,1200,2.0,full
NYC,Yorktown Heights,rural,74.2,83.0,100.0,39.8,94.4,90.57,99.72,20,25.5,3000,1.543,full
NYC,Pleasantville,suburban,73.1,71.3,91.7,56.5,90.5,85.91,96.93,20,26.0,1200,0.472,full
NYC,Garden City,suburban,73.0,74.0,100.0,44.9,91.4,89.5,94.39,25,34.5,1200,2.414,full
LA,Altadena,suburban,72.7,67.4,100.0,50.6,89.7,88.67,93.6,29,33.5,1200,2.247,full
NYC,Malverne,suburban,70.8,70.2,95.4,46.8,90.2,87.84,90.43,27,28.25,1200,0.501,full
NYC,Bellmore,suburban,70.4,84.5,73.5,53.2,94.9,95.17,94.01,11,12.0,1200,0.98,full
NYC,Hastings-on-Hudson,suburban,69.6,55.6,89.2,63.9,85.1,81.19,89.92,20,24.5,1200,0.578,full
NYC,Port Washington,suburban,69.5,73.5,95.4,39.5,91.3,90.61,93.72,26,28.25,1200,0.474,full
LA,Monterey Park,suburban,69.4,68.5,100.0,39.8,90.0,88.58,93.77,25,32.0,1200,1.568,full
LA,Agoura Hills,suburban,69.0,65.2,93.3,48.5,88.9,88.11,91.94,22,27.0,1200,0.607,full
NYC,Darien,rural,68.7,65.6,100.0,40.4,89.0,88.01,93.01,20,27.0,3000,0,full
NYC,Demarest,suburban,68.6,70.3,83.8,51.8,90.2,88.52,92.35,17,21.0,1200,1.217,full
NYC,Tottenville,suburban,68.6,69.7,92.1,44.0,90.0,89.08,93.98,25,26.25,1200,0.593,full
LA,El Monte,suburban,68.2,64.6,100.0,39.8,88.7,84.84,93.96,34,39.75,1200,1.664,full
LA,Torrance,suburban,68.1,64.6,98.3,41.5,88.7,87.13,94.92,20,30.0,1200,6.985,full
LA,La Crescenta,suburban,67.7,57.2,97.1,48.8,86.1,82.82,90.09,28,29.25,1200,2.623,full
