Year,County,NCICCode,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum,ViolentClr_sum,HomicideClr_sum,ForRapeClr_sum,RobberyClr_sum,AggAssaultClr_sum,PropertyClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum,RAPact_sum,ARAPact_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,HROBnao_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FASSact_sum,KASSact_sum,OASSact_sum,HASSact_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,RNBURnao_sum,RDBURnao_sum,RUBURnao_sum,NRESBUR_sum,NNBURnao_sum,NDBURnao_sum,NUBURnao_sum,MVTact_sum,TMVTact_sum,OMVTact_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,MVLARnao_sum,MVPLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT200nao_sum,LT50200nao_sum,LT50nao_sum
1985,Alameda County,Alameda,405,7,15,220,163,4486,989,260,3237,205,7,8,67,123,889,88,62,739,23,4,5,32,7,9,6,56,23,11,130,136,48,2,2,20,2,10,16,30,90,27,747,242,637,175,195,267,352,119,46,187,187,33,40,31,20,664,538,673,516,183,53,559,540,622,,916,1159
1985,Alameda County,Alameda BART,93,1,3,75,14,1456,6,284,1166,15,0,0,9,6,126,1,29,96,1,0,0,1,0,2,1,13,13,5,44,0,0,0,0,0,0,75,5,2,3,4,5,1,0,0,0,0,6,4,1,1,223,33,28,70,25,1,566,153,108,20,11,212,177,150,,310,529
1985,Alameda County,Alameda Co. Sheriff's Department,427,3,27,166,231,3964,1483,353,2128,122,4,6,32,80,409,124,7,278,22,6,3,31,11,22,5,77,22,3,64,59,38,23,32,11,3,0,25,27,111,68,1177,306,1129,206,599,324,354,216,47,91,233,56,64,5,60,289,930,109,205,44,11,475,753,437,,440,498
1985,Alameda County,Alameda E. Bay Mun. Util. Dist.,1,1,0,0,0,20,2,2,16,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,2,0,0,0,0,0,3,1,0,0,0,12,2,2,,5,7
1985,Alameda County,Alameda E. Bay Reg. Park Dist.,22,4,5,3,10,121,16,7,98,5,0,0,1,4,25,1,3,21,0,0,11,11,0,3,2,0,0,2,1,0,0,0,0,0,0,3,2,1,1,6,15,1,2,2,0,0,14,2,8,4,5,0,2,1,1,0,34,2,3,5,2,50,14,10,,40,34
1985,Alameda County,Alameda SP RR,23,0,0,1,22,226,106,4,116,4,0,0,0,4,40,23,2,15,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,19,0,106,0,0,0,0,0,106,51,25,30,2,1,1,2,0,3,4,4,0,17,0,86,35,18,,37,26
1985,Alameda County,Alameda State Police,17,0,3,3,11,140,44,5,91,5,0,1,0,4,8,3,1,4,0,0,0,0,0,3,0,0,1,0,2,1,0,0,0,0,0,2,2,0,2,7,33,11,2,1,1,0,42,10,17,15,4,1,0,0,2,1,14,24,0,35,0,15,17,6,,33,35
1985,Alameda County,Alameda UP RR,0,0,0,0,0,42,36,0,6,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,36,3,1,32,0,0,0,0,0,0,2,1,0,1,0,2,3,1,,1,1
1985,Alameda County,Albany,101,1,4,58,38,634,161,55,418,58,1,3,23,31,166,62,16,88,2,0,0,2,1,2,2,23,2,2,31,26,15,1,2,6,3,5,3,2,10,23,85,76,100,33,44,23,61,32,21,8,42,4,9,26,4,40,147,62,39,46,17,37,84,68,,128,138
1985,Alameda County,Berkeley,1164,11,43,660,450,12035,2930,869,8236,559,4,32,198,325,1954,397,177,1380,72,23,5,100,20,31,12,242,71,43,304,351,150,0,0,47,21,91,47,103,224,76,2040,890,2015,597,1418,0,915,224,691,0,559,55,255,133,163,1277,3153,508,611,1877,18,496,533,636,,2793,4274
